Fonc;Pr_NA88;Coef
11;10;0.911909569776263
11;1;0.810518513850281
11;3;1
11;11;0.00444293366192853
12;10;0.0496765778272622
12;11;0.25420688143186
21;11;0.741350184906211
22;12;1
31;25;0.00103132719514934
31;32;0.000264257193340903
31;13;0.0919187949880032
31;14;0.998615667747788
31;77;0.00738520140801295
31;95;0.0333855649146426
31;96;0.0763072998355713
32;13;0.00890522527326047
32;15;0.703943126916196
32;95;0.0520048234342228
41;68;0.237691273963779
42;68;0.749403203337065
43;17;0.0508707085962789
43;20;0.0341731828413889
43;22;0.0175107113667696
43;23;0.122523420313496
43;25;0.0110761783566634
43;32;0.00639446389838342
43;16;0.255654141139394
43;19;0.000884660287812995
43;43;0.891893597392763
44;68;0.00648102341910067
44;36;1
44;37;1
44;38;1
44;43;0.0611646343234073
44;80;1
44;81;0.195975007422202
45;20;0.00087082384414932
45;35;1
45;2;1
45;19;0.174540706477099
51;22;0.0333938407204754
51;27;0.026678538103035
51;13;0.082951213009864
51;16;0.0281468017078481
51;31;0.981061180920472
51;43;0.0469417682838296
51;95;0.260929068323812
52;22;0.00205212817517603
52;32;0.00317108632009084
52;13;0.759101377410468
52;16;0.324014489247488
53;27;0.700898657672545
53;28;0.0237198683547306
53;77;0.118163222528207
53;95;0.0791511847950375
54;22;0.315829995465194
54;23;0.534146845796406
54;25;0.580281375019754
54;28;0.00965309692531206
54;16;0.279597361073878
55;22;0.0165280020997839
55;25;0.152188661825985
55;26;0.00178340991020141
55;27;0.145217580121716
55;28;0.85914341625404
55;33;0.0492753623188406
55;77;0.221556042240389
55;95;0.0474907108770225
56;17;0.171272877683372
56;20;0.237195639820583
56;22;0.145624884518382
56;23;0.0091728364569991
56;24;1
56;25;0.0283243506250468
56;32;0.0319461738628162
56;8;1
56;13;0.0204820270150182
56;16;0.0844404051235444
56;77;0.118163222528207
56;78;0.58
56;81;0.804024992577798
56;96;0.0190768249588928
56;97;1
60;10;0.0123990368667798
60;20;0.00364424189141358
60;22;0.00869929041336897
60;26;0.0500844801736697
60;30;0.00799844601620257
60;32;0.24995050964413
60;86;1
60;14;0.00138433225221168
60;21;0.961930688102086
60;33;0.088695652173913
60;77;0.0221556042240389
60;96;0.00899055079064168
71;29;0.616498502287357
71;30;0.455376669675606
72;22;0.357598502084841
72;23;0.0364730817169344
72;25;0.017600993088305
72;26;0.0070511878613927
72;27;0.0488455950347885
72;29;0.352284161960867
72;30;0.113844167418901
72;68;0.00375909755577375
72;85;0.161392648415872
72;19;0.824574633235088
72;45;1
72;52;0.992843511450382
72;71;1
72;77;0.243944749224798
73;49;0.929511225575276
73;50;1
73;51;1
73;79;0.0475117201586729
81;52;0.00715648854961832
81;53;1
82;26;0.243834741880033
82;95;0.0185960775048312
83;61;0.905431581649001
83;77;0.0960076183041684
91;20;0.000974022837278462
91;26;0.539161941450645
91;27;0.00326973395742212
91;28;0.0749547840009488
91;58;0.0240590663042558
91;59;0.522935010725837
91;62;1
91;77;0.00928797045196638
91;95;0.302378505849863
92;29;0.0312173357517755
92;30;0.373832131662039
92;32;0.00931661082295004
92;93;0.0164569097151166
92;33;0.862028985507246
92;75;0.03
92;95;0.100156694743928
93;10;0.0205790957545325
93;17;0.000330491687569492
93;20;0.013233624076369
93;22;0.0069002329772623
93;23;0.207092434851035
93;25;0.0916984804251815
93;26;0.0447149453502732
93;27;0.00459737302551437
93;32;0.370571570027788
93;93;0.0188329037733068
93;1;0.189481486149719
93;13;0.0366413623033858
93;15;0.0592113746167609
93;16;0.0281468017078481
93;21;0.0380693118979142
93;58;0.0994071039724034
93;75;0.97
93;95;0.0333855649146426
93;96;0.0509649038397378
94;49;0.0704887744247243
94;85;0.0281999029884296
94;90;1
94;91;1
94;93;0.964710186511577
94;58;0.00293194785594937
94;59;0.472701516228225
94;60;1
94;61;0.0945684183509986
94;74;1
94;77;0.163336369090213
94;79;0.220519293184277
94;82;0.924731182795699
94;92;1
95;17;0.232931506407459
95;20;0.00414635988606831
95;22;0.0528896067193085
95;25;0.0287324608462044
95;26;0.0434302920289544
95;28;0.0187386960002372
95;32;0.0390533957357327
95;58;0.838960275966151
95;59;0.00436347304593846
96;79;0.73196898665705
100;85;0.810407448595698
111;10;0.00543571977516273
111;56;1
112;55;1
121;17;0.54459441562532
121;20;0.698269418756922
121;22;0.0429728054594382
121;25;0.0879585547820446
121;27;0.0631835402870104
121;28;0.0137901384647315
121;32;0.0266348843668973
121;96;0.612002244828151
123;20;0.00749268604582738
123;23;0.09059138086513
123;25;0.00110761783566634
123;26;0.0699390013448308
123;27;0.00730898179796928
123;30;0.0489485852272511
123;32;0.26269704812787
123;15;0.236845498467043
123;31;0.0189388190795282
123;95;0.0725218046419982
124;87;1
124;88;1
124;78;0.42
125;65;1
126;64;1
126;69;0.0365188522646431
127;68;0.00266540172428142
127;58;0.0346416059012405
127;63;1
127;69;0.963481147735357
127;82;0.0752688172043011
127;84;1
127;96;0.232658175747006
