Fonc;Pr_NA17;Coef
11;AZ;0.779445255074266
11;C1;0.660365880702108
12;C1;0.0765411042075593
21;C1;0.118420672889635
22;C1;0.116884570198672
31;C5;0.236471677272066
31;MN;0.00167653980561655
31;RU;0.0287091071574551
32;C5;0.060585089331773
32;RU;0.00541853387733262
41;LZ;0.237691273963779
42;LZ;0.749403203337065
43;C2;0.000884660287812995
43;C5;0.0149713432372589
43;FZ;0.891893597392763
44;DE;0.259492957746479
44;FZ;0.0611646343234073
44;LZ;0.00648102341910067
44;MN;0.0180925801114876
45;AZ;0.0557146522110032
45;C2;0.174540706477099
45;C5;0.000133911052942677
45;DE;0.740093896713615
51;C3;0.00994329606503376
51;C5;0.0953479144889801
51;FZ;0.0469417682838296
51;RU;0.0271869588804911
52;C5;0.0270797926870519
53;C3;0.262480193306455
53;MN;0.0268246368898648
53;RU;0.00824699225804294
54;C3;0.000508654325975602
54;C5;0.0507071018170373
55;C3;0.100419625367191
55;C5;0.00593930162448356
55;MN;0.0502961941684966
55;RU;0.00494819535482576
56;C5;0.0590062873366537
56;DE;0.000413145539906103
56;MN;0.0950396039969496
56;RU;0.0768621942790895
60;C1;0.0089692022019221
60;C3;0.0287784890637055
60;C4;0.000670049566118976
60;C5;0.114426138465109
60;MN;0.00502961941684966
60;OQ;0.432354101345803
60;RU;0.00297267369703996
71;C4;0.603000928656792
72;C2;0.824574633235088
72;C3;0.0222567334946304
72;C4;0.332309455053474
72;C5;0.0200139705086398
72;GZ;1
72;HZ;0.215229476405947
72;LZ;0.00375909755577375
72;MN;0.100091928693525
72;OQ;0.0325144465617243
73;HZ;0.707356173238526
73;MN;0.00540455393662786
81;HZ;0.0448610213316096
82;C3;0.140107183467086
82;RU;0.00193757942612534
83;JZ;0.483968521549681
83;MN;0.0217950174730152
91;C3;0.31497015442581
91;C5;0.000149780491894532
91;JZ;0.0838434319131392
91;MN;0.00210849390772427
91;RU;0.031505696385972
92;C4;0.0599190229145784
92;C5;0.00403401610862854
92;MN;0.00333256897010738
92;RU;0.0131063116365312
93;AZ;0.164840092714731
93;C1;0.0148864845663658
93;C3;0.0274066363008299
93;C5;0.08406829902642
93;JZ;0.0269983485336413
93;MN;0.107753063366805
93;RU;0.0233860704226399
94;HZ;0.0325533290239173
94;JZ;0.166269856755108
94;MN;0.127305857551957
94;OQ;0.00568120201113777
94;RU;0.488881338762179
95;C3;0.0259424049005299
95;C5;0.0194172834532331
95;JZ;0.228131167250232
96;MN;0.0832629476498702
100;OQ;0.163266108705834
111;C1;0.00393208523373663
111;IZ;0.778978590888205
112;IZ;0.221021409111795
121;C3;0.0242756398058061
121;C5;0.13649185793111
121;RU;0.202355007840427
123;C3;0.0429109894769471
123;C4;0.00410054380903715
123;C5;0.0711562351667172
123;RU;0.00755625784971648
124;MN;0.00515145262513645
124;OQ;0.355339537400179
125;KZ;0.776864292649316
126;KZ;0.223135707350684
126;MN;0.012634554933445
127;JZ;0.0107886739981986
127;LZ;0.00266540172428142
127;MN;0.334200386502521
127;OQ;0.010844603975322
127;RU;0.0769270821721327
