Fonc;Pr_NA64;Coef
11;AZ1;0.810518513850281
11;AZ3;1
11;CA0;0.660365880702108
12;CA0;0.0765411042075593
21;CA0;0.118420672889635
22;CA0;0.116884570198672
31;CB0;0.675407742954964
31;CH2;0.00103132719514934
31;CM1;0.000172609466558735
31;NZ1;0.00738520140801295
31;SZ2;0.0333855649146426
31;SZ3;0.0763072998355713
32;CB0;0.17310068774172
32;SZ2;0.0520048234342228
41;LZ0;0.237691273963779
42;LZ0;0.749403203337065
43;CC1;0.255654141139394
43;CC2;0.0508707085962789
43;CD0;0.000884660287812995
43;CE0;0.0341731828413889
43;CG1;0.0175107113667696
43;CG2;0.122523420313496
43;CH2;0.0110761783566634
43;CM1;0.00417678318790425
43;FZ0;0.891893597392763
44;EZ1;1
44;EZ2;1
44;FZ0;0.0611646343234073
44;LZ0;0.00648102341910067
44;NZ4;0.19961236450861
45;AZ2;1
45;CD0;0.174540706477099
45;CE0;0.00087082384414932
45;DZ0;1
51;CB0;0.00720406798889812
51;CC1;0.0281468017078481
51;CG1;0.0333938407204754
51;CJ0;0.026678538103035
51;CM1;0.340244388161652
51;FZ0;0.0469417682838296
51;SZ2;0.260929068323812
52;CB0;0.0659257138612419
52;CC1;0.324014489247488
52;CG1;0.00205212817517603
52;CM1;0.00207131359870482
53;CJ0;0.700898657672545
53;CK0;0.0237198683547306
53;NZ1;0.118163222528207
53;SZ2;0.0791511847950375
54;CC1;0.279597361073878
54;CG1;0.315829995465194
54;CG2;0.534146845796406
54;CH2;0.580281375019754
54;CK0;0.00965309692531206
55;CG1;0.0165280020997839
55;CH2;0.152188661825985
55;CI0;0.00178340991020141
55;CJ0;0.145217580121716
55;CK0;0.85914341625404
55;CM2;0.0492753623188406
55;NZ1;0.221556042240389
55;SZ2;0.0474907108770225
56;BZ0;1
56;CB0;0.00177880358601981
56;CC1;0.0844404051235444
56;CC2;0.171272877683372
56;CE0;0.237195639820583
56;CG1;0.145624884518382
56;CG2;0.0091728364569991
56;CH1;1
56;CH2;0.0283243506250468
56;CM1;0.020866837944274
56;NZ1;0.118163222528207
56;NZ2;0.58
56;NZ4;0.674117580502817
56;SZ3;0.0190768249588928
56;TZ0;1
60;CA0;0.0089692022019221
60;CB0;0.000925218579155898
60;CE0;0.00364424189141358
60;CF0;0.961930688102086
60;CG1;0.00869929041336897
60;CI0;0.0500844801736697
60;CL2;0.00799844601620257
60;CM1;0.163264521167073
60;CM2;0.088695652173913
60;NZ1;0.0221556042240389
60;QA0;1
60;SZ3;0.00899055079064168
71;CL1;0.616498502287357
71;CL2;0.455376669675606
72;CD0;0.824574633235088
72;CG1;0.357598502084841
72;CG2;0.0364730817169344
72;CH2;0.017600993088305
72;CI0;0.0070511878613927
72;CJ0;0.0488455950347885
72;CL1;0.352284161960867
72;CL2;0.113844167418901
72;GZ1;1
72;HZ4;0.992843511450382
72;LZ0;0.00375909755577375
72;MA2;1
72;NZ1;0.243944749224798
72;PZ0;0.161392648415872
73;HZ1;0.929511225575276
73;HZ2;1
73;HZ3;1
73;NZ3;0.0475117201586729
81;HZ4;0.00715648854961832
81;HZ5;1
82;CI0;0.243834741880033
82;SZ2;0.0185960775048312
83;JB0;0.905431581649001
83;NZ1;0.0960076183041684
91;CE0;0.000974022837278462
91;CI0;0.539161941450645
91;CJ0;0.00326973395742212
91;CK0;0.0749547840009488
91;JA1;0.0240590663042558
91;JA2;0.222318731629637
91;JC0;0.969835466179159
91;NZ1;0.00928797045196638
91;SZ2;0.302378505849863
92;CL1;0.0312173357517755
92;CL2;0.373832131662039
92;CM1;0.00608549271243556
92;CM2;0.862028985507246
92;MC2;0.0201188707280832
92;RZ2;0.0164569097151166
92;SZ2;0.100156694743928
93;AZ1;0.189481486149719
93;CA0;0.0148864845663658
93;CB0;0.0176773083820753
93;CC1;0.0281468017078481
93;CC2;0.000330491687569492
93;CE0;0.013233624076369
93;CF0;0.0380693118979142
93;CG1;0.0069002329772623
93;CG2;0.207092434851035
93;CH2;0.0916984804251815
93;CI0;0.0447149453502732
93;CJ0;0.00459737302551437
93;CM1;0.242052676847335
93;JA1;0.0994071039724034
93;MC2;0.650510153541357
93;RZ2;0.0188329037733068
93;SZ2;0.0333855649146426
93;SZ3;0.0509649038397378
94;HZ1;0.0704887744247243
94;JA1;0.00293194785594937
94;JA2;0.775826196950061
