Fonc;Pr_NA138;Coef
11;GA01Z;0.810518513850281
11;GA03Z;1
11;GC10A;1
11;GC10B;1
11;GC10C;0.784947293412291
11;GC10D;1
11;GC10E;1
11;GC10F;1
11;GC10G;1
11;GC10H;0.759103590633537
11;GC11Z;0.00444293366192853
12;GC10C;0.215052706587709
12;GC10H;0.155413636554313
12;GC11Z;0.25420688143186
21;GC11Z;0.741350184906211
22;GC12Z;1
31;GC13Z;0.0919187949880032
31;GC14Z;0.998615667747788
31;GC25E;0.00113544585462337
31;GC32C;0.000510712817721502
31;GN77Z;0.00738520140801295
31;GS95Z;0.0333855649146426
31;GS96Z;0.0763072998355713
32;GC13Z;0.00890522527326047
32;GC15Z;0.703943126916196
32;GS95Z;0.0520048234342228
41;GL68R;0.968910069109089
42;GL68I;0.996525082297522
43;GC16Z;0.255654141139394
43;GC17B;0.0508707085962789
43;GC19Z;0.000884660287812995
43;GC20C;0.525074391206656
43;GC22A;0.00249024869691771
43;GC22B;0.02730199613651
43;GC23B;0.271561787883031
43;GC25E;0.0121943849239053
43;GC32C;0.0123581675642369
43;GF43Z;0.891893597392763
44;GE36Z;1
44;GE37Z;1
44;GE38Z;1
44;GF43Z;0.0611646343234073
44;GL68I;0.00347491770247803
44;GL68R;0.0157665771479903
44;GN80Z;1
44;GN81Z;0.195975007422202
45;GA02Z;1
45;GC19Z;0.174540706477099
45;GC20A;0.10274079063261
45;GD35A;1
45;GD35B;1
51;GC13Z;0.082951213009864
51;GC16Z;0.0281468017078481
51;GC22B;0.0551620519424769
51;GC27B;0.114506140631803
51;GC31Z;0.981061180920472
51;GF43Z;0.0469417682838296
51;GS95Z;0.260929068323812
52;GC13Z;0.759101377410468
52;GC16Z;0.324014489247488
52;GC22A;0.00520022522003405
52;GC32C;0.00612855381265802
53;GC27A;0.913803837897158
53;GC28D;1
53;GN77Z;0.118163222528207
53;GS95Z;0.0791511847950375
54;GC16Z;0.279597361073878
54;GC22A;0.00351564521917795
54;GC22B;0.519416183730414
54;GC23A;0.840188383045526
54;GC23B;0.16187572405189
54;GC25E;0.638864256542681
